"","crashYear","crashSever","regname","regid","taname","taid","crashcnt"
"1",2018,"Fatal Crash","Area Outside Region","99","Chatham Islands Territory","067",1
"2",2018,"Fatal Crash","Auckland Region","02","Auckland","076",30
"3",2018,"Fatal Crash","Bay of Plenty Region","04","Kawerau District","026",1
"4",2018,"Fatal Crash","Bay of Plenty Region","04","Rotorua District","024",5
"5",2018,"Fatal Crash","Bay of Plenty Region","04","Tauranga City","023",5
"6",2018,"Fatal Crash","Bay of Plenty Region","04","Western Bay of Plenty District","022",10
"7",2018,"Fatal Crash","Bay of Plenty Region","04","Whakatane District","025",3
"8",2018,"Fatal Crash","Bay of Plenty Region","04","Ōpōtiki District","027",1
"9",2018,"Fatal Crash","Canterbury Region","13","Christchurch City","060",10
"10",2018,"Fatal Crash","Canterbury Region","13","Hurunui District","058",1
"11",2018,"Fatal Crash","Canterbury Region","13","Mackenzie District","065",1
"12",2018,"Fatal Crash","Canterbury Region","13","Selwyn District","062",2
"13",2018,"Fatal Crash","Canterbury Region","13","Timaru District","064",9
"14",2018,"Fatal Crash","Canterbury Region","13","Waimate District","066",3
"15",2018,"Fatal Crash","Gisborne Region","05","Gisborne District","028",4
"16",2018,"Fatal Crash","Hawke's Bay Region","06","Hastings District","030",5
"17",2018,"Fatal Crash","Hawke's Bay Region","06","Napier City","031",3
"18",2018,"Fatal Crash","Hawke's Bay Region","06","Wairoa District","029",1
"19",2018,"Fatal Crash","Manawatū-Whanganui Region","08","Horowhenua District","042",6
"20",2018,"Fatal Crash","Manawatū-Whanganui Region","08","Manawatu District","039",5
"21",2018,"Fatal Crash","Manawatū-Whanganui Region","08","Palmerston North City","040",5
"22",2018,"Fatal Crash","Manawatū-Whanganui Region","08","Rangitikei District","038",2
"23",2018,"Fatal Crash","Manawatū-Whanganui Region","08","Ruapehu District","036",3
"24",2018,"Fatal Crash","Manawatū-Whanganui Region","08","Tararua District","041",3
"25",2018,"Fatal Crash","Manawatū-Whanganui Region","08","Whanganui District","037",6
"26",2018,"Fatal Crash","Marlborough Region","18","Marlborough District","053",2
